Nro_Control;Monto_Total;Forma_Pago_1;Fecha_Pago_1;Referencia_1;Banco_1;Forma_Pago_2;Fecha_Pago_2;Referencia_2;Banco_2
1;2542.71;TJD;02/06/2025;778782;BANCARIBE;;;;
6;10120.24;TJD;02/06/2025;934833;BANCARIBE;;;;
7;2724.68;TJD;02/06/2025;938393;BANCARIBE;;;;
8;2627.37;TJD;02/06/2025;270177;BANCARIBE;;;;
9;5254.74;TJD;02/06/2025;145977;BANCARIBE;;;;
10;5254.74;TJD;02/06/2025;280287;BANCARIBE;;;;
11;5254.74;TJD;02/06/2025;000253;BANCARIBE;;;;
12;2542.71;TJD;02/06/2025;171533;BANCARIBE;;;;
13;4087.02;TJD;02/06/2025;180285;BANCARIBE;;;;
14;2627.37;TJD;02/06/2025;132996;BANCARIBE;;;;
15;2530.06;TJD;02/06/2025;191182;BANCARIBE;;;;
16;2530.06;TJD;02/06/2025;214689;BANCARIBE;;;;
17;2627.37;TJD;02/06/2025;270190;BANCARIBE;;;;
18;2535.8;TJD;02/06/2025;313910;BANCARIBE;;;;
19;2530.06;TJD;02/06/2025;415085;BANCARIBE;;;;
20;2542.71;TJD;02/06/2025;0323872;BANCARIBE;;;;
21;5085.42;TJD;02/06/2025;221349;BANCARIBE;;;;
22;5085.42;TJD;02/06/2025;224580;BANCARIBE;;;;
26;4476.26;TJD;02/06/2025;343474;BANCARIBE;;;;
33;2287.94;TRA;30/05/2025;3701148524636;BANCARIBE;;;;
34;2364.12;TRA;30/05/2025;3401148604815;BANCARIBE;;;;
35;2252.84;OTR;30/05/2025;53732992;BANCARIBE;;;;
36;2364.12;OTR;30/05/2025;255538665;BANCARIBE;;;;
37;788.04;OTR;30/05/2025;5150278575;BANCARIBE;;;;
38;2287.94;OTR;27/05/2025;253514963;BANCARIBE;;;;
39;2287.94;OTR;30/05/2025;255723642;BANCARIBE;;;;
48;2364.12;TRA;30/05/2025;20414201038;BANCARIBE;;;;
54;2542.71;TJD;03/06/2025;071796;BANCARIBE;;;;
62;2013.88;TRA;30/05/2025;20414278877;BANCARIBE;;;;
63;4027.76;TRA;30/05/2025;20414278877;BANCARIBE;;;;
64;9282.42;OTR;02/05/2025;229633773;BANCARIBE;OTR;02/05/2025;255066031.0;BANCARIBE
65;1751.2;OTR;23/05/2025;614353585514;BANCARIBE;;;;
68;5085.42;TJD;03/06/2025;260972896;BANCARIBE;;;;
70;2530.06;OTR;02/06/2025;76343;BANCARIBE;;;;
74;2627.37;TJD;02/06/2025;25019;BANCARIBE;;;;
79;2627.37;TJD;04/06/2025;00434981;BANCARIBE;;;;
82;2300.0;OTR;30/05/2025;60000360;BANCARIBE;;;;
83;9730.52;TJD;04/06/2025;184768;BANCARIBE;;;;
85;2542.71;TJD;04/06/2025;048899;BANCARIBE;;;;
95;2542.71;TJD;04/06/2025;971635;BANCARIBE;;;;
100;5085.42;TJD;04/06/2025;010461;BANCARIBE;;;;
101;5085.42;TJD;04/06/2025;170092;BANCARIBE;;;;
102;2919.3;TJD;04/06/2025;002274;BANCARIBE;;;;
103;2542.71;TJD;04/06/2025;068566;BANCARIBE;;;;
104;2627.37;TJD;04/06/2025;153734;BANCARIBE;;;;
105;2542.71;TJD;04/06/2025;360289;BANCARIBE;;;;
106;2542.71;TJD;04/06/2025;384675;BANCARIBE;;;;
107;6629.73;TJD;04/06/2025;163283;BANCARIBE;;;;
108;5254.74;TJD;04/06/2025;169712;BANCARIBE;;;;
109;5254.74;TJD;04/06/2025;531661;BANCARIBE;;;;
117;2287.94;TRA;31/05/2025;13144870334;BANCARIBE;;;;
121;2627.37;TRA;31/05/2025;05151603894;BANCARIBE;;;;
127;2288.0;OTR;30/05/2025;51503940735;BANCARIBE;;;;
129;2364.12;TRA;30/05/2025;3701148558319;BANCARIBE;;;;
131;8500.0;OTR;16/05/2025;051362088729;BANCARIBE;;;;
137;4575.88;OTR;30/05/2025;00256380898;BANCARIBE;;;;
138;2530.06;TJD;05/06/2025;322593;BANCARIBE;;;;
139;2627.37;TJD;05/06/2025;746704;BANCARIBE;;;;
143;2530.06;TJD;05/06/2025;312397;BANCARIBE;;;;
145;3146.0;TJD;05/06/2025;191685;BANCARIBE;;;;
147;2542.71;TJD;05/06/2025;301689;BANCARIBE;;;;
154;2316.2;TRA;30/05/2025;3701148634461;BANCARIBE;;;;
157;2316.16;TRA;17/05/2025;63354877;BANCARIBE;;;;
159;2627.37;TJD;05/06/2025;541394;BANCARIBE;;;;
164;15764.22;TJD;06/06/2025;829573;BANCARIBE;;;;
169;1265.03;TJD;06/06/2025;789099;BANCARIBE;;;;
170;5254.74;TJD;06/06/2025;143485;BANCARIBE;;;;
171;2530.06;TJD;06/06/2025;253984;BANCARIBE;;;;
172;5085.42;TJD;06/06/2025;039183;BANCARIBE;;;;
173;5449.36;TJD;06/06/2025;076044;BANCARIBE;;;;
